"fornavn"	"Personer 2021"
"Aage"	1163
"Aaron"	544
"Aasmund"	286
"Abbas"	290
"Abdallah"	209
"Abdi"	614
"Abdirahman"	794
"Abdul"	1234
"Abdulkadir"	215
"Abdullah"	824
"Abdullahi"	605
"Abdulrahman"	274
"Abel"	737
"Abraham"	359
"Adam"	4597
"Adel"	209
"Adem"	217
"Adil"	229
"Adnan"	639
"Adrian"	10349
"Agnar"	776
"Ahmad"	2127
"Ahmed"	2873
"Ahmet"	360
"Aiden"	219
"Ailo"	496
"Aksel"	5679
"Alan"	818
"Albert"	2100
"Alejandro"	260
"Aleksandar"	445
"Aleksander"	7439
"Aleksandr"	.
"Aleksandrs"	224
"Alex"	1048
"Alexander"	11966
"Alexandru"	386
"Alf"	7173
"Alfred"	2762
"Ali"	4013
"Allan"	624
"Alv"	302
"Alvin"	635
"Amanuel"	292
"Amar"	242
"Amer"	210
"Amin"	400
"Amir"	1207
"Ammar"	292
"Amund"	2783
"Anas"	444
"Anders"	19217
"Andre"	3183
"Andreas"	21221
"Andrei"	436
"Andrej"	251
"Andres"	322
"Andrew"	689
"Andris"	224
"Andrius"	555
"Andrzej"	1819
"Annar"	225
"Ansgar"	286
"Anthony"	517
"Anton"	2472
"Antoni"	362
"Antonio"	615
"Anwar"	216
"Aram"	226
"Are"	2339
"Ari"	279
"Arian"	677
"Arild"	9679
"Arkadiusz"	713
"Arman"	365
"Armin"	294
"Arn"	235
"Arne"	21101
"Arnfinn"	2441
"Arnljot"	.
"Arnold"	739
"Arnstein"	1058
"Arnt"	3211
"Arnulf"	536
"Aron"	2520
"Arthur"	1523
"Artur"	1332
"Arturas"	408
"Arunas"	354
"Arve"	4167
"Arvid"	4877
"Arvin"	207
"Arvydas"	.
"Aryan"	287
"Asbjørn"	5732
"Asgeir"	1126
"Ask"	1420
"Aslak"	1445
"Asle"	1744
"Asmund"	205
"Atle"	5558
"Audrius"	310
"Audun"	3807
"August"	2090
"Aurimas"	257
"Axel"	2016
"Ayman"	302
"Baard"	396
"Balder"	373
"Bartlomiej"	476
"Bartosz"	591
"Bastian"	770
"Ben"	642
"Bendik"	2151
"Bengt"	1735
"Benjamin"	8510
"Benny"	289
"Bent"	2271
"Bernard"	261
"Bernhard"	699
"Bernt"	2900
"Bertil"	254
"Bilal"	561
"Birger"	2450
"Birk"	1828
"Bjarne"	4442
"Bjarte"	2031
"Bjørge"	231
"Bjørn"	37192
"Bjørn-Erik"	.
"Bjørnar"	4813
"Bo"	978
"Bogdan"	505
"Boguslaw"	200
"Borgar"	270
"Boris"	204
"Brage"	3250
"Brede"	1033
"Brian"	853
"Bror"	533
"Bruno"	333
"Brynjar"	688
"Brynjulf"	230
"Børge"	1802
"Børre"	975
"Bård"	3785
"Carl"	4452
"Carlos"	710
"Carsten"	562
"Casper"	2445
"Caspian"	459
"Cato"	2579
"Charles"	685
"Charlie"	333
"Chris"	1805
"Christen"	204
"Christer"	2927
"Christian"	14258
"Christoffer"	4977
"Christopher"	3035
"Claes"	246
"Claus"	523
"Colin"	542
"Conrad"	336
"Constantin"	275
"Cornelius"	418
"Cristian"	414
"Dag"	9744
"Dagfinn"	2365
"Dainius"	276
"Damian"	956
"Dan"	2577
"Dani"	308
"Daniel"	19198
"Danny"	244
"Darius"	666
"Dariusz"	1522
"David"	7283
"Dawid"	946
"Dawit"	254
"Deividas"	285
"Dejan"	209
"Denis"	482
"Dennis"	2950
"Didrik"	1485
"Diego"	232
"Dominic"	214
"Dominik"	567
"Donatas"	339
"Dragan"	213
"Eddie"	235
"Edgar"	956
"Edin"	324
"Edmund"	533
"Edvard"	3224
"Edvin"	1976
"Edward"	882
"Edwin"	546
"Egidijus"	334
"Egil"	7160
"Eigil"	356
"Eilert"	336
"Eilif"	707
"Einar"	10440
"Eirik"	14034
"Eivind"	8369
"Eldar"	657
"Eliah"	264
"Elias"	8235
"Elling"	484
"Elliot"	766
"Emanuel"	418
"Emil"	12326
"Emilian"	898
"Emilio"	283
"Emir"	403
"Emmanuel"	374
"Emre"	418
"Emrik"	1186
"Endre"	2879
"Eric"	1263
"Erik"	21080
"Erland"	816
"Erlend"	6821
"Erling"	5827
"Ernst"	1349
"Esben"	404
"Eskil"	2404
"Eskild"	464
"Espen"	14146
"Esten"	211
"Evald"	203
"Evaldas"	218
"Even"	7803
"Eystein"	318
"Eyvind"	383
"Fabian"	1282
"Faisal"	230
"Falk"	369
"Farhad"	222
"Felix"	3054
"Ferdinand"	658
"Fernando"	233
"Filip"	4683
"Fillip"	700
"Finn"	6381
"Flemming"	311
"Florian"	223
"Francis"	234
"Francisco"	349
"Franciszek"	219
"Frank"	9719
"Frans"	271
"Fred"	1851
"Freddy"	1184
"Frederik"	576
"Fredrick"	323
"Fredrik"	14664
"Fridtjof"	413
"Frithjof"	203
"Frits"	232
"Fritz"	433
"Frode"	11009
"Gabriel"	3701
"Gard"	1410
"Gaute"	2034
"Gediminas"	222
"Geir"	22323
"Georg"	2394
"George"	538
"Georgios"	207
"Gerhard"	361
"Gert"	216
"Giedrius"	264
"Gintaras"	235
"Gisle"	1180
"Gjermund"	1311
"Gjert"	294
"Glen"	219
"Glenn"	4110
"Goran"	295
"Gorm"	292
"Grzegorz"	1882
"Gudbrand"	231
"Gudmund"	872
"Gunnar"	11805
"Gunvald"	270
"Gustav"	2789
"Guttorm"	630
"Gøran"	1086
"Haakon"	2831
"Haavard"	203
"Hadi"	222
"Haldor"	310
"Halfdan"	270
"Hallgeir"	919
"Hallstein"	277
"Hallvard"	1515
"Halvard"	1357
"Halvor"	2986
"Hamid"	378
"Hamza"	746
"Hans"	22356
"Hans-Petter"	.
"Harald"	13315
"Haris"	219
"Harry"	1943
"Hasan"	638
"Hassan"	1429
"Hauk"	295
"Heine"	1177
"Helge"	11342
"Helmer"	445
"Henning"	5277
"Henrik"	16499
"Henry"	2290
"Henryk"	270
"Herman"	4960
"Hermann"	693
"Hermod"	380
"Hilmar"	416
"Hjalmar"	486
"Hogne"	373
"Holger"	298
"Hubert"	327
"Hugo"	1590
"Hussain"	222
"Hussein"	759
"Håkon"	13303
"Håvar"	498
"Håvard"	9236
"Ian"	632
"Ibrahim"	1844
"Idar"	1287
"Idris"	254
"Igor"	623
"Ilyas"	300
"Imran"	385
"Imre"	477
"Ingar"	1691
"Inge"	4695
"Ingebrigt"	336
"Ingmar"	250
"Ingolf"	434
"Ingvald"	558
"Ingvar"	1125
"Ingve"	350
"Ireneusz"	264
"Isa"	268
"Isaac"	500
"Isac"	492
"Isak"	6264
"Ismail"	804
"Ivan"	1884
"Ivar"	8247
"Iver"	3556
"Ivo"	329
"Jacek"	1223
"Jack"	1001
"Jacob"	3843
"Jahn"	651
"Jakob"	6798
"Jakub"	1374
"Jamal"	413
"James"	937
"Jan"	50114
"Jan-Erik"	.
"Janis"	390
"Jann"	498
"Janusz"	610
"Jaran"	215
"Jarand"	299
"Jardar"	279
"Jarl"	1635
"Jarle"	6234
"Jaroslaw"	1031
"Jason"	294
"Jean"	631
"Jens"	8566
"Jeppe"	419
"Jerzy"	471
"Jesper"	3322
"Jim"	1744
"Jimmy"	633
"Jo"	2457
"Joachim"	3802
"Joacim"	373
"Joakim"	7019
"Joao"	245
"Joar"	1402
"Joel"	776
"Johan"	9802
"Johann"	425
"Johannes"	8936
"John"	19241
"Johnny"	4394
"Jomar"	262
"Jon"	16449
"Jonah"	394
"Jonas"	15477
"Jonatan"	1044
"Jonathan"	4192
"Jone"	1190
"Jonn"	230
"Jonny"	2569
"Jorge"	358
"Jose"	816
"Josef"	741
"Joseph"	612
"Joshua"	411
"Jostein"	5853
"Jozef"	470
"Juan"	725
"Julian"	4043
"Julius"	570
"Justin"	239
"Jøran"	859
"Jørg"	.
"Jørgen"	10961
"Jørn"	6088
"Jørund"	506
"Kaare"	424
"Kacper"	608
"Kai"	5172
"Kaj"	360
"Kamal"	227
"Kamil"	1114
"Karim"	338
"Karl"	8973
"Karol"	678
"Karolis"	246
"Karstein"	682
"Karsten"	1718
"Kasper"	4249
"Kato"	268
"Kay"	934
"Kazimierz"	250
"Ken"	1828
"Kennet"	286
"Kenneth"	9421
"Kenny"	232
"Kent"	2812
"Kestutis"	324
"Ketil"	2485
"Kevin"	4426
"Khaled"	539
"Khalid"	659
"Khalil"	254
"Kian"	352
"Kim"	9055
"Kim-Andre"	.
"Kjartan"	1200
"Kjell"	25547
"Kjetil"	10265
"Klaus"	789
"Knut"	24040
"Kolbjørn"	890
"Konrad"	1481
"Kornelius"	359
"Kristen"	708
"Krister"	770
"Kristian"	16520
"Kristoffer"	10184
"Krystian"	479
"Krzysztof"	2947
"Kurt"	3492
"Kyrre"	918
"Kåre"	7696
"Lars"	31650
"Lars-Erik"	.
"Lasse"	5525
"Laurits"	387
"Lauritz"	450
"Lavrans"	525
"Leander"	2444
"Leif"	11902
"Leiv"	1068
"Lennart"	519
"Leo"	2877
"Leon"	4331
"Leonard"	780
"Leonardo"	303
"Leszek"	421
"Levi"	1198
"Liam"	4282
"Liban"	229
"Linas"	300
"Linus"	1926
"Loke"	613
"Lorentz"	238
"Louis"	464
"Luca"	646
"Lucas"	4700
"Ludvig"	2756
"Ludvik"	1424
"Luis"	724
"Luka"	478
"Lukas"	4200
"Lukasz"	2018
"Lyder"	282
"Maciej"	1100
"Mads"	4431
"Magnar"	2280
"Magne"	7857
"Magnus"	17221
"Mahad"	237
"Mahamed"	364
"Mahdi"	267
"Mahmoud"	715
"Maksymilian"	238
"Malik"	253
"Malvin"	497
"Mantas"	477
"Manuel"	391
"Marc"	271
"Marcel"	552
"Marcin"	2417
"Marco"	740
"Marcus"	5779
"Marek"	1768
"Marian"	455
"Mario"	649
"Marius"	16833
"Mariusz"	1669
"Mark"	824
"Marko"	491
"Markus"	8308
"Martin"	22077
"Martinius"	234
"Martinus"	388
"Martynas"	243
"Marvin"	316
"Matas"	243
"Mateo"	523
"Mateusz"	1275
"Matheo"	2876
"Matheus"	276
"Mathias"	12171
"Mathis"	249
"Matias"	1464
"Mats"	7241
"Matteo"	393
"Matthew"	464
"Matthias"	309
"Mattias"	507
"Mattis"	846
"Max"	2443
"Maximilian"	552
"Mehdi"	323
"Mehmet"	566
"Melvin"	435
"Michael"	5092
"Michal"	2140
"Miguel"	386
"Mika"	313
"Mikael"	3006
"Mikail"	236
"Mikal"	915
"Mike"	270
"Mikhail"	.
"Mikkel"	4227
"Mikolaj"	274
"Milan"	714
"Milian"	592
"Milos"	209
"Mindaugas"	649
"Minh"	285
"Mio"	686
"Miroslav"	210
"Miroslaw"	771
"Mohamad"	1584
"Mohamed"	3610
"Mohammad"	5298
"Mohammed"	3024
"Mons"	442
"Morgan"	672
"Morten"	21767
"Mostafa"	307
"Muhammad"	2406
"Muhammed"	436
"Mustafa"	1313
"Narve"	278
"Natan"	250
"Nataniel"	207
"Nathan"	339
"Nathaniel"	946
"Neo"	249
"Nerijus"	349
"Nicholas"	1380
"Nicklas"	864
"Niclas"	474
"Nicolai"	2974
"Nicolas"	907
"Nicolay"	863
"Niels"	648
"Niklas"	2259
"Nikola"	392
"Nikolai"	4350
"Nikolas"	564
"Nikolay"	353
"Nils"	12935
"Njål"	605
"Noa"	380
"Noah"	6431
"Noel"	420
"Norbert"	273
"Normann"	227
"Norvald"	491
"Odd"	18896
"Oddbjørn"	2384
"Oddgeir"	705
"Oddleif"	.
"Oddmund"	1161
"Oddvar"	4214
"Oddvin"	339
"Odin"	3512
"Ola"	9401
"Olaf"	1979
"Olai"	1022
"Olav"	14853
"Ole"	34202
"Ole-Christian"	.
"Ole-Jørgen"	.
"Ole-Kristian"	.
"Ole-Martin"	.
"Ole-Petter"	.
"Oliver"	8215
"Olivier"	259
"Olve"	551
"Omar"	1753
"Omer"	216
"Omid"	223
"Oscar"	4053
"Oskar"	5356
"Osman"	571
"Osvald"	240
"Ottar"	1501
"Otto"	1736
"Ove"	5724
"Paal"	971
"Patrick"	3158
"Patrik"	790
"Patryk"	679
"Paul"	4604
"Paulius"	305
"Pavel"	280
"Pawel"	2466
"Peder"	3907
"Pedro"	348
"Pelle"	283
"Per"	37623
"Per-Arne"	.
"Per-Erik"	.
"Peter"	4897
"Petter"	10290
"Philip"	3172
"Phillip"	923
"Pierre"	229
"Piotr"	3142
"Preben"	2154
"Przemyslaw"	788
"Pål"	9439
"Radoslaw"	568
"Rafael"	466
"Rafal"	1424
"Ragnar"	4086
"Ragnvald"	486
"Rainer"	222
"Ralf"	.
"Rami"	223
"Ramunas"	246
"Rasmus"	1686
"Ravn"	253
"Rayan"	337
"Raymond"	2943
"Reidar"	5282
"Remi"	1533
"Remy"	396
"Rene"	847
"Reza"	319
"Ricardo"	277
"Richard"	3152
"Rikard"	511
"Rino"	350
"Roald"	2745
"Roar"	6581
"Robel"	207
"Robert"	8346
"Robertas"	220
"Roberto"	248
"Robin"	5115
"Roger"	8651
"Roland"	248
"Rolandas"	260
"Rolf"	12029
"Rolv"	479
"Roman"	805
"Ronald"	984
"Ronnie"	343
"Ronny"	5661
"Roy"	7626
"Ruben"	3235
"Rudi"	532
"Rudolf"	295
"Runar"	3369
"Rune"	18735
"Ryan"	353
"Ryszard"	427
"Said"	740
"Salah"	236
"Saleh"	200
"Salman"	240
"Sam"	605
"Sami"	410
"Samir"	520
"Samson"	300
"Samuel"	3025
"Sander"	9864
"Saulius"	368
"Scott"	637
"Sean"	579
"Sebastian"	10027
"Selmer"	235
"Severin"	430
"Seyed"	217
"Sigbjørn"	1862
"Sigfred"	214
"Sigmund"	2779
"Sigurd"	7417
"Sigvald"	218
"Sigvart"	.
"Sigve"	1695
"Silas"	461
"Simen"	8705
"Simon"	5644
"Sindre"	7684
"Sivert"	2985
"Sjur"	1337
"Skjalg"	277
"Slawomir"	957
"Snorre"	1721
"Solomon"	230
"Sondre"	9493
"Stanislaw"	680
"Stefan"	2228
"Steffan"	200
"Steffen"	3806
"Stein"	10031
"Steinar"	10602
"Sten"	1688
"Stephan"	497
"Stephen"	587
"Steve"	381
"Steven"	609
"Stian"	15330
"Stig"	9748
"Storm"	1729
"Sture"	390
"Sturla"	677
"Ståle"	3635
"Svein"	24295
"Svein-Erik"	.
"Sveinung"	1657
"Sven"	4234
"Svend"	910
"Svenn"	1237
"Sverre"	8641
"Syed"	571
"Sylwester"	326
"Syver"	811
"Sølve"	562
"Szymon"	558
"Søren"	425
"Tadas"	296
"Tadeusz"	337
"Tage"	740
"Tarald"	322
"Tarjei"	1035
"Ted"	269
"Tellef"	239
"Teo"	389
"Teodor"	1453
"Terje"	20071
"Thanh"	333
"Theo"	2911
"Theodor"	4333
"Thomas"	24529
"Thor"	7924
"Thoralf"	.
"Thorbjørn"	1297
"Thore"	1181
"Thorleif"	630
"Thormod"	.
"Thorstein"	439
"Thorvald"	444
"Tim"	1492
"Timian"	216
"Timothy"	278
"Tobias"	9989
"Tom"	16166
"Tom-Erik"	.
"Tomas"	3124
"Tomasz"	2927
"Tommy"	9201
"Toni"	210
"Tonny"	303
"Tony"	1802
"Tor"	22739
"Tor-Arne"	.
"Tor-Erik"	.
"Toralf"	503
"Torben"	497
"Torbjørn"	6633
"Tord"	1672
"Tore"	15224
"Torfinn"	1017
"Torgeir"	3265
"Torger"	403
"Torgrim"	611
"Torje"	514
"Torjus"	1007
"Torkel"	609
"Torkil"	358
"Torkild"	291
"Torleif"	1076
"Torleiv"	371
"Tormod"	2824
"Torodd"	223
"Torstein"	3860
"Torvald"	316
"Tristan"	421
"Tron"	529
"Trond"	17182
"Troy"	337
"Truls"	3160
"Trygve"	4955
"Trym"	3561
"Tønnes"	200
"Ulf"	2234
"Ulrik"	3263
"Usman"	240
"Vaidas"	284
"Valentin"	290
"Van"	276
"Varg"	327
"Vebjørn"	1885
"Vegar"	1520
"Vegard"	8289
"Vemund"	1105
"Vetle"	3995
"Victor"	3035
"Vidar"	9062
"Viggo"	1329
"Viktor"	2771
"Vilhelm"	253
"Viljar"	1346
"Villy"	373
"Vincent"	709
"Vladimir"	512
"Vytautas"	361
"Waldemar"	592
"Walid"	262
"Walter"	596
"Werner"	648
"Widar"	.
"Wieslaw"	408
"Wiggo"	412
"Wiktor"	385
"Wilhelm"	1019
"William"	9202
"Willy"	2347
"Wilmer"	248
"Wojciech"	1216
"X"	.
"Yahya"	226
"Yasin"	371
"Yngvar"	781
"Yngve"	2251
"Yonas"	376
"Yosef"	238
"Yousef"	485
"Youssef"	284
"Yusuf"	637
"Zakaria"	363
"Zbigniew"	919
"Zdzislaw"	.
"Zoran"	201
"Øistein"	933
"Øivind"	3440
"Ørjan"	3607
"Ørnulf"	336
"Øystein"	10729
"Øyvind"	13765
"Ådne"	1078
"Åge"	3681
"Åsmund"	2065
